"Club","Points","GF","GA","GD","Group","Europa","UL","n_teams","Rank","Elo","Tilt","Pass","seed"
"Ferencvaros",49,33,10,23,"HUN",1,1,12,1,1499.69836426,1.23763391766252,0,68
"Paksi",39,32,20,12,"HUN",1,1,12,2,1378.65771484,1.13956390216467,0,68
"Diosgyori",36,35,26,9,"HUN",1,1,12,3,1288.05786133,1.40621497477701,0,68
"Puskas Akademia",36,28,19,9,"HUN",1,1,12,4,1423.1427002,1.23946298695982,0,68
"Gyoer",30,29,24,5,"HUN",1,1,12,5,1327.04162598,1.35050931337614,0,68
"Debrecen",28,19,24,-5,"HUN",1,1,12,6,1286.16259766,1.3180696816421,0,68
"Nyiregyhaza",28,29,35,-6,"HUN",1,1,12,7,1232.09912109,1.32535746398917,0,68
"Ujpest",27,23,28,-5,"HUN",1,1,12,8,1265.30090332,1.30759604379238,0,68
"MTK",26,29,35,-6,"HUN",1,1,12,9,1281.40856934,1.2998562415236,0,68
"Kecskemeti",24,19,28,-9,"HUN",1,1,12,10,1235.34887695,1.35411979564695,0,68
"Videoton",21,21,34,-13,"HUN",1,1,12,11,1235.41149902,1.47184159013442,0,68
"Zalaegerszegi",20,28,42,-14,"HUN",1,1,12,12,1275.06213379,1.31360602960847,0,68
"PSV",92,99,24,75,"NED",1,2,18,1,1797.03527832,1.94117647058824,2,68
"Feyenoord",78,86,31,55,"NED",1,2,18,2,1738.36352539,1.73529411764706,2,68
"Ajax",74,86,43,43,"NED",1,2,18,3,1663.94873047,1.98529411764706,2,68
"Utrecht",59,50,38,12,"NED",1,2,18,4,1584.75134277,1.41176470588235,2,68
"Alkmaar",58,69,43,26,"NED",1,2,18,5,1626.27563477,1.60294117647059,2,68
"Twente",51,60,48,12,"NED",1,2,18,6,1576.95092773,1.54411764705882,2,68
"Zwolle",48,50,55,-5,"NED",1,2,18,7,1462.80810547,1.64705882352941,2,68
"Go Ahead Eagles",48,47,54,-7,"NED",1,2,18,8,1498.68859863,1.36764705882353,2,68
"Heerenveen",48,55,63,-8,"NED",1,2,18,9,1445.41308594,1.80882352941176,2,68
"Nijmegen",45,55,54,1,"NED",1,2,18,10,1505.06628418,1.75,2,68
"Almere",42,43,69,-26,"NED",1,2,18,11,1349.17346191,1.35294117647059,2,68
"Waalwijk",36,37,64,-27,"NED",1,2,18,12,1378.1862793,1.38235294117647,2,68
"Sittard",35,45,58,-13,"NED",1,2,18,13,1420.51062012,1.36764705882353,2,68
"Sparta Rotterdam",31,47,63,-16,"NED",1,2,18,14,1493.50878906,1.45588235294118,2,68
"Heracles",31,49,70,-21,"NED",1,2,18,15,1409.36730957,1.69117647058824,2,68
"Groningen",27,27,60,-33,"NED",1,2,18,16,1410.41210938,1.31013970076108,2,68
"Breda",27,26,61,-35,"NED",1,2,18,17,1351.14208984,1.30530169837547,2,68
"Willem II",26,34,67,-33,"NED",1,2,18,18,1324.44934082,1.29305192828982,2,68
"Paris SG",87,69,15,54,"FRA",2,1,18,1,1974.93762207,1.39605446377876,3,68
"Strasbourg",67,54,36,18,"FRA",2,1,18,2,1707.00744629,1.39801957193823,3,68
"Lyon",59,54,34,20,"FRA",2,1,18,3,1744.62866211,1.28760078807128,3,68
"Toulouse",55,50,42,8,"FRA",2,1,18,4,1653.90771484,1.26194617151755,3,68
"Nice",53,42,42,0,"FRA",2,1,18,5,1720.62438965,1.51465220153084,3,68
"Marseille",52,48,45,3,"FRA",2,1,18,6,1756.52758789,1.27452700555862,3,68
"Lens",50,51,43,8,"FRA",2,1,18,7,1693.22021484,1.24005708090175,3,68
"Lille",49,48,44,4,"FRA",2,1,18,8,1782.04833984,1.21357685052826,3,68
"Reims",45,35,41,-6,"FRA",2,1,18,9,1589.82861328,1.29212489826178,3,68
"Auxerre",44,36,45,-9,"FRA",2,1,18,10,1629.10119629,1.12717491705882,3,68
"Angers",43,39,48,-9,"FRA",2,1,18,11,1538.24450684,1.19956480968094,3,68
"Le Havre",42,37,46,-9,"FRA",2,1,18,12,1553.54150391,1.24808666457219,3,68
"Saint-Etienne",42,31,48,-17,"FRA",2,1,18,13,1532.84277344,1.23504387004211,3,68
"Nantes",41,36,38,-2,"FRA",2,1,18,14,1586.95227051,1.24707652530356,3,68
"Monaco",40,37,38,-1,"FRA",2,1,18,15,1762.12561035,1.17847169648344,3,68
"Rennes",36,47,63,-16,"FRA",2,1,18,16,1663.48510742,1.31507837608376,3,68
"Brest",35,42,52,-10,"FRA",2,1,18,17,1679.1048584,1.24205760509338,3,68
"Montpellier",17,26,62,-36,"FRA",2,1,18,18,1490.47045898,1.17977185398411,3,68
"Fenerbahce",94,87,24,63,"TUR",1,1,19,1,1673.91918945,1.71052631578947,0,68
"Galatasaray",93,88,21,67,"TUR",1,1,19,2,1701.14611816,1.55263157894737,0,68
"Bueyueksehir",62,53,36,17,"TUR",1,1,19,3,1449.87182617,1.31578947368421,0,68
"Besiktas",61,62,47,15,"TUR",1,1,19,4,1506.78662109,1.30263157894737,0,68
"Samsunspor",61,51,39,12,"TUR",1,1,19,5,1436.43029785,1.23684210526316,0,68
"Trabzonspor",56,56,48,8,"TUR",1,1,19,6,1470.06970215,1.56578947368421,0,68
"Eyupspor",54,43,41,2,"TUR",1,1,19,7,1370.41467285,1.283107267909,0,68
"Kasimpasa",53,61,58,3,"TUR",1,1,19,8,1423.47302246,1.67105263157895,0,68
"Sivasspor",46,47,52,-5,"TUR",1,1,19,9,1355.29040527,1.32894736842105,0,68
"Goeztepe",45,49,51,-2,"TUR",1,1,19,10,1384.90710449,1.30990753326145,0,68
"Antalyaspor",45,45,58,-13,"TUR",1,1,19,11,1355.68505859,1.22368421052632,0,68
"Rizespor",45,48,65,-17,"TUR",1,1,19,12,1388.77099609,1.39473684210526,0,68
"Konyaspor",44,46,49,-3,"TUR",1,1,19,13,1388.09277344,1.22368421052632,0,68
"Alanyaspor",44,44,49,-5,"TUR",1,1,19,14,1407.70080566,1.35526315789474,0,68
"Kayseri",40,46,56,-10,"TUR",1,1,19,15,1389.22131348,1.32894736842105,0,68
"Gaziantep FK",37,40,62,-22,"TUR",1,1,19,16,1367.83752441,1.40789473684211,0,68
"Bodrum",28,38,65,-27,"TUR",1,1,19,17,1333.02697754,1.29397792760476,0,68
"Adana Demirspor",20,31,72,-41,"TUR",1,1,19,18,1234.671875,1.51315789473684,0,68
"Hatayspor",15,26,68,-42,"TUR",1,1,19,19,1289.30761719,1.27631578947368,0,68
"Bayern",81,91,31,60,"GER",3,0,18,1,1918.99780273,2.04411764705882,4,68
"Leverkusen",71,65,25,40,"GER",3,0,18,2,1848.78601074,1.66176470588235,4,68
"Dortmund",66,64,39,25,"GER",3,0,18,3,1818.35009766,1.63235294117647,4,68
"Frankfurt",62,55,39,16,"GER",3,0,18,4,1745.75793457,1.48529411764706,4,68
"Freiburg",58,59,42,17,"GER",3,0,18,5,1684.3404541,1.51470588235294,4,68
"Werder",54,49,48,1,"GER",3,0,18,6,1677.4543457,1.5,4,68
"Mainz",52,55,47,8,"GER",3,0,18,7,1706.18273926,1.32352941176471,4,68
"Wolfsburg",49,56,56,0,"GER",3,0,18,8,1645.72412109,1.42647058823529,4,68
"Stuttgart",46,55,53,2,"GER",3,0,18,9,1719.31469727,1.72058823529412,4,68
"RB Leipzig",45,59,62,-3,"GER",3,0,18,10,1716.37438965,1.70588235294118,4,68
"Gladbach",39,51,59,-8,"GER",3,0,18,11,1632.47961426,1.80882352941176,4,68
"Bochum",38,40,54,-14,"GER",3,0,18,12,1539.73632812,1.70588235294118,4,68
"Union Berlin",38,44,63,-19,"GER",3,0,18,13,1617.16491699,1.33823529411765,4,68
"Heidenheim",35,41,57,-16,"GER",3,0,18,14,1558.72509766,1.54411764705882,4,68
"Hoffenheim",35,50,78,-28,"GER",3,0,18,15,1605.84057617,1.94117647058824,4,68
"St Pauli",31,38,58,-20,"GER",3,0,18,16,1577.10717773,1.19868929420803,4,68
"Holstein",27,35,66,-31,"GER",3,0,18,17,1537.13269043,1.50429820831113,4,68
"Augsburg",26,33,63,-30,"GER",3,0,18,18,1618.65966797,1.61764705882353,4,68
"Shakhtar",77,66,17,49,"UKR",1,1,17,1,1531.97888184,1.39730019372263,0,68
"Dynamo Kyiv",75,74,26,48,"UKR",1,1,17,2,1507.01538086,1.42452004778858,0,68
"Olexandriya",62,59,35,24,"UKR",1,1,17,3,1381.87268066,1.45341877819301,0,68
"Kolos",51,37,32,5,"UKR",1,1,17,4,1279.32971191,1.10771447632563,0,68
"Zorya",49,41,45,-4,"UKR",1,1,17,5,1292.85839844,1.18329392862863,0,68
"Kryvbas",46,50,50,0,"UKR",1,1,17,6,1311.26586914,1.48659388308645,0,68
"Polissya Zhytomyr",45,34,35,-1,"UKR",1,1,17,7,1320.07263184,1.37007848128805,0,68
"Karpaty",41,38,43,-5,"UKR",1,1,17,8,1259.42590332,1.24671821768056,0,68
"Rukh Lviv",41,47,55,-8,"UKR",1,1,17,9,1288.19287109,1.55701681344102,0,68
"Chernomorets",38,34,41,-7,"UKR",1,1,17,10,1168.51318359,1.51452887345797,0,68
"Metalist 1925",36,39,42,-3,"UKR",1,1,17,11,1239.8572998,1.26234825636407,0,68
"Vorskla",36,34,44,-10,"UKR",1,1,17,12,1209.55578613,1.32350089596343,0,68
"Veres",34,37,46,-9,"UKR",1,1,17,13,1218.13342285,1.46820469256737,0,68
"Livyi Bereh",33,39,59,-20,"UKR",1,1,17,14,1161.27331543,1.39075597543037,0,68
"Obolon Kyiv",32,28,46,-18,"UKR",1,1,17,15,1222.96166992,1.36375921349665,0,68
"Inhulets",32,34,55,-21,"UKR",1,1,17,16,1159.96582031,1.31571566234513,0,68
"LNZ",28,23,43,-20,"UKR",1,1,17,17,1222.95471191,1.20394512289735,0,68
"Bodoe Glimt",61,43,19,24,"NOR",1,1,16,1,1616.89807129,1.32367623191925,0,68
"Sarpsborg",58,46,32,14,"NOR",1,1,16,2,1394.88232422,1.27835497597529,0,68
"Brann",53,44,29,15,"NOR",1,1,16,3,1497.65393066,1.17062993880076,0,68
"Molde",52,46,34,12,"NOR",1,1,16,4,1458.12585449,1.3173650289776,0,68
"Fredrikstad",52,40,29,11,"NOR",1,1,16,5,1391.56896973,1.3129470611302,0,68
"Viking",47,38,29,9,"NOR",1,1,16,6,1527.25927734,1.24674596326969,0,68
"Tromso",46,38,32,6,"NOR",1,1,16,7,1403.46374512,1.21111867177487,0,68
"Rosenborg",45,50,42,8,"NOR",1,1,16,8,1479.81652832,1.38498406568871,0,68
"Valerenga",43,41,44,-3,"NOR",1,1,16,9,1299.21533203,1.36661302020416,0,68
"Sandefjord",43,39,44,-5,"NOR",1,1,16,10,1352.60778809,1.3547246780065,0,68
"Stromsgodset",41,40,34,6,"NOR",1,1,16,11,1325.36743164,1.17292155756973,0,68
"Ham-Kam",34,35,38,-3,"NOR",1,1,16,12,1325.42089844,1.41903908451774,0,68
"Kristiansund",28,32,48,-16,"NOR",1,1,16,13,1312.94335938,1.36279867960964,0,68
"Haugesund",23,30,52,-22,"NOR",1,1,16,14,1265.59619141,1.41121083336922,0,68
"KFUM Oslo",21,25,51,-26,"NOR",1,1,16,15,1297.58227539,1.24643592890007,0,68
"Bryne",21,26,56,-30,"NOR",1,1,16,16,1308.08203125,1.33920473906048,0,68
"Celtic",54,65,13,52,"SCO",1,1,12,1,1662.38671875,1.64473684210526,1,68
"Rangers",45,49,24,25,"SCO",1,1,12,2,1587.43994141,1.56578947368421,1,68
"Hibernian",41,31,28,3,"SCO",1,1,12,3,1429.87890625,1.46052631578947,1,68
"Hearts",40,36,25,11,"SCO",1,1,12,4,1406.42919922,1.26315789473684,1,68
"Ross County",28,34,39,-5,"SCO",1,1,12,5,1244.04736328,1.38157894736842,1,68
"Motherwell",27,34,33,1,"SCO",1,1,12,6,1309.34545898,1.51315789473684,1,68
"Kilmarnock",25,27,35,-8,"SCO",1,1,12,7,1325.25195312,1.18421052631579,1,68
"Aberdeen",24,22,36,-14,"SCO",1,1,12,8,1338.04016113,1.31578947368421,1,68
"Dundee",24,26,45,-19,"SCO",1,1,12,9,1282.87023926,1.53947368421053,1,68
"St Mirren",22,20,33,-13,"SCO",1,1,12,10,1367.06835938,1.28947368421053,1,68
"Dundee United",20,22,39,-17,"SCO",1,1,12,11,1302.08666992,1.32725778761808,1,68
"St Johnstone",16,22,38,-16,"SCO",1,1,12,12,1221.51623535,1.09210526315789,1,68
"Olympiakos",65,79,18,61,"GRE",1,2,14,1,1670.36560059,1.58333333333333,0,68
"AEK",57,61,30,31,"GRE",1,2,14,2,1516.50268555,1.59722222222222,0,68
"Panathinaikos",55,62,32,30,"GRE",1,2,14,3,1535.48669434,1.65277777777778,0,68
"PAOK",54,64,30,34,"GRE",1,2,14,4,1544.87280273,1.68055555555556,0,68
"OFI",42,37,37,0,"GRE",1,2,14,5,1302.8425293,1.30514705882353,0,68
"Asteras Tripolis",40,37,37,0,"GRE",1,2,14,6,1305.14465332,1.43566176470588,0,68
"Aris",35,44,34,10,"GRE",1,2,14,7,1445.51269531,1.31944444444444,0,68
"Kalithea",29,33,54,-21,"GRE",1,2,14,8,1247.60107422,1.36645321427093,0,68
"Panetolikos",28,22,43,-21,"GRE",1,2,14,9,1291.86462402,1.28860294117647,0,68
"Panserraikos",28,25,51,-26,"GRE",1,2,14,10,1238.79187012,1.36580882352941,0,68
"Atromitos",25,31,57,-26,"GRE",1,2,14,11,1330.74499512,1.34926470588235,0,68
"Levadeiakos",24,29,44,-15,"GRE",1,2,14,12,1325.5090332,1.23536278844083,0,68
"NFC Volos",21,28,52,-24,"GRE",1,2,14,13,1262.30859375,1.38694852941176,0,68
"Lamia",15,18,51,-33,"GRE",1,2,14,14,1158.99023438,1.69444444444444,0,68
"Crvena Zvezda",87,86,8,78,"SRB",1,1,16,1,1580.66638184,1.27667625419354,0,68
"Partizan",66,55,31,24,"SRB",1,1,16,2,1354.12451172,1.19784750165291,0,68
"Novi Sad",53,46,35,11,"SRB",1,1,16,3,1246.3963623,1.38078522853506,0,68
"Cukaricki",46,34,32,2,"SRB",1,1,16,4,1185.57104492,1.2438750778783,0,68
"Backa Topola",45,34,33,1,"SRB",1,1,16,5,1247.67456055,1.19068391853535,0,68
"IMT",44,42,44,-2,"SRB",1,1,16,6,1137.99658203,1.28593360369436,0,68
"Novi Pazar",41,36,39,-3,"SRB",1,1,16,7,1200.30761719,1.24052121763276,0,68
"Mladost Lucani",39,36,40,-4,"SRB",1,1,16,8,1135.52954102,1.21202283347922,0,68
"Zlatibor",38,31,36,-5,"SRB",1,1,16,9,1108.2800293,1.33713816614404,0,68
"Kragujevac",37,34,31,3,"SRB",1,1,16,10,1218.0826416,1.41344404371711,0,68
"Nis",35,32,44,-12,"SRB",1,1,16,11,1094.78491211,1.25654608886011,0,68
"Krusevac",33,39,50,-11,"SRB",1,1,16,12,1095.61401367,1.44806888769121,0,68
"Zeleznicar Pancevo",32,24,38,-14,"SRB",1,1,16,13,1139.875,1.2235397893355,0,68
"OFK",31,32,50,-18,"SRB",1,1,16,14,1137.03930664,1.25944114386567,0,68
"Jedinstvo Ub",27,29,54,-25,"SRB",1,1,16,15,1021.19543457,1.44217529693145,0,68
"Tekstilac Odzaci",22,25,50,-25,"SRB",1,1,16,16,1044.80822754,1.35955583698355,0,68
"Steaua",67,54,20,34,"ROM",1,1,17,1,1555.09423828,1.30713348833726,1,68
"CFR Cluj",61,55,29,26,"ROM",1,1,17,2,1478.15344238,1.13140748465753,1,68
"Craiova",59,47,28,19,"ROM",1,1,17,3,1424.82824707,1.27485105736757,1,68
"Universitatea Cluj",53,39,27,12,"ROM",1,1,17,4,1378.57189941,1.17740044876307,1,68
"Rapid Bucuresti",51,45,32,13,"ROM",1,1,17,5,1375.25671387,1.37494656109828,1,68
"Otelul Galati",49,47,37,10,"ROM",1,1,17,6,1304.88562012,1.22921064674001,1,68
"Hermannstadt",49,44,40,4,"ROM",1,1,17,7,1329.19116211,1.28922391511076,1,68
"Unirea Slobozia",46,35,45,-10,"ROM",1,1,17,8,1225.63012695,1.13220180254955,1,68
"Petrolul Ploiesti",40,31,38,-7,"ROM",1,1,17,9,1280.50402832,1.18494854272215,1,68
"Dinamo Bucuresti",40,31,39,-8,"ROM",1,1,17,10,1317.17785645,1.19922986762621,1,68
"Sepsi",38,28,34,-6,"ROM",1,1,17,11,1290.68066406,1.27341526288295,1,68
"Viitorul",36,36,48,-12,"ROM",1,1,17,12,1331.0637207,1.09917540124086,1,68
"UTA Arad",35,31,41,-10,"ROM",1,1,17,13,1288.83398438,1.23667057577254,1,68
"Botosani",35,30,40,-10,"ROM",1,1,17,14,1267.04626465,1.44677526121142,1,68
"Gloria Buzau",32,33,49,-16,"ROM",1,1,17,15,1151.76306152,1.37157301182525,1,68
"Iasi",31,26,42,-16,"ROM",1,1,17,16,1254.77526855,1.30292615029366,1,68
"Corvinul Hunedoara",28,29,52,-23,"ROM",1,1,17,17,1218.04663086,1.23287036985646,1,68
"M Tel Aviv",69,62,16,46,"ISR",1,1,14,1,1552.51538086,1.20586073582233,0,68
"Hapoel Haifa",53,42,25,17,"ISR",1,1,14,2,1364.0723877,1.52079084230768,0,68
"Maccabi Haifa",51,48,26,22,"ISR",1,1,14,3,1451.36315918,1.23909558412179,0,68
"Beer-Sheva",50,45,21,24,"ISR",1,1,14,4,1514.36657715,1.10979175733012,0,68
"Beitar",36,42,39,3,"ISR",1,1,14,5,1339.39416504,1.3496821775665,0,68
"Ashdod",34,32,32,0,"ISR",1,1,14,6,1282.84484863,1.31128095792147,0,68
"Netanya",32,40,43,-3,"ISR",1,1,14,7,1311.05419922,1.32978420448824,0,68
"M Petach Tikva",32,30,38,-8,"ISR",1,1,14,8,1220.94750977,1.25432905380254,0,68
"Bnei Sakhinin",28,33,42,-9,"ISR",1,1,14,9,1269.97265625,1.1946410405471,0,68
"Kiryat Shmona",26,30,42,-12,"ISR",1,1,14,10,1196.04394531,1.41521370223643,0,68
"Maccabi Bnei Raina",25,28,45,-17,"ISR",1,1,14,11,1239.88305664,1.1369526431537,0,68
"Hapoel Jerusalem",24,24,36,-12,"ISR",1,1,14,12,1328.39428711,1.13339102837069,0,68
"Hapoel Eran Hadera",21,24,49,-25,"ISR",1,1,14,13,1190.2331543,1.18304381211493,0,68
"Ironi Tiberias",20,21,47,-26,"ISR",1,1,14,14,1224.82067871,1.42159953991503,0,68
"Austria Wien",43,40,19,21,"AUT",1,2,12,1,1476.18188477,1.32121229244603,1,68
"Sturm Graz",42,43,21,22,"AUT",1,2,12,2,1553.17565918,1.22786109658705,1,68
"Rapid Wien",42,40,25,15,"AUT",1,2,12,3,1436.13745117,1.32854850537068,1,68
"Wolfsberg",42,38,26,12,"AUT",1,2,12,4,1480.16235352,1.37107639376745,1,68
"Salzburg",35,32,23,9,"AUT",1,2,12,5,1558.85534668,1.25315609271051,1,68
"BW Linz",35,36,33,3,"AUT",1,2,12,6,1339.27709961,1.30756039430157,1,68
"LASK",34,25,24,1,"AUT",1,2,12,7,1443.68151855,1.3774944542857,1,68
"Hartberg",24,27,28,-1,"AUT",1,2,12,8,1376.58984375,1.23053641967045,1,68
"GAK",22,26,47,-21,"AUT",1,2,12,9,1271.65209961,1.27020162696908,1,68
"Wattens",21,18,30,-12,"AUT",1,2,12,10,1276.56164551,1.26784500509209,1,68
"Altach",17,14,33,-19,"AUT",1,2,12,11,1278.7043457,1.32222071041951,1,68
"Klagenfurt",7,12,42,-30,"AUT",1,2,12,12,1264.28808594,1.3263250513743,1,68
"Olimpija Ljubljana",38,37,17,20,"SVN",1,2,10,1,1426.41101074,1.46961817523264,0,69
"Maribor",36,34,17,17,"SVN",1,2,10,2,1380.29211426,1.32482110410912,0,69
"Koper",34,30,15,15,"SVN",1,2,10,3,1335.64245605,1.39022408187054,0,69
"Primorje",33,25,26,-1,"SVN",1,2,10,4,1190.31591797,1.16373042805195,0,69
"Celje",28,24,14,10,"SVN",1,2,10,5,1379.47290039,1.47406082799752,0,69
"Bravo",20,22,28,-6,"SVN",1,2,10,6,1264.70251465,1.4016857539312,0,69
"Domzale",18,16,25,-9,"SVN",1,2,10,7,1162.32849121,1.23858330021573,0,69
"Radomlje",13,15,25,-10,"SVN",1,2,10,8,1164.2845459,1.33652761073933,0,69
"Nafta",13,14,33,-19,"SVN",1,2,10,9,1122.66589355,1.15719416016734,0,69
"Mura",12,17,34,-17,"SVN",1,2,10,10,1169.0324707,1.31596884655509,0,69
"Dynamo Kyiv",81,64,18,46,"UKR",1,2,17,1,1507.01538086,1.17017987883241,0,69
"Shakhtar",79,77,28,49,"UKR",1,2,17,2,1531.97888184,1.28329364275372,0,69
"Karpaty",61,49,29,20,"UKR",1,2,17,3,1259.42590332,1.27998773609867,0,69
"Metalist 1925",54,47,33,14,"UKR",1,2,17,4,1239.8572998,1.20542920262467,0,69
"Kryvbas",51,41,27,14,"UKR",1,2,17,5,1311.26586914,1.39427207550223,0,69
"Rukh Lviv",49,48,50,-2,"UKR",1,2,17,6,1288.19287109,1.26681324031512,0,69
"Olexandriya",48,43,37,6,"UKR",1,2,17,7,1381.87268066,1.21492710764347,0,69
"Obolon Kyiv",42,46,50,-4,"UKR",1,2,17,8,1222.96166992,1.45217225740069,0,69
"LNZ",40,36,41,-5,"UKR",1,2,17,9,1222.95471191,1.40840515458753,0,69
"Chernomorets",40,36,52,-16,"UKR",1,2,17,10,1168.51318359,1.39310209023632,0,69
"Zorya",37,37,45,-8,"UKR",1,2,17,11,1292.85839844,1.49278073195618,0,69
"Polissya Zhytomyr",36,40,45,-5,"UKR",1,2,17,12,1320.07263184,1.19818521356177,0,69
"Kolos",36,35,46,-11,"UKR",1,2,17,13,1279.32971191,1.34570781578065,0,69
"Vorskla",32,30,50,-20,"UKR",1,2,17,14,1209.55578613,1.37306855789123,0,69
"Veres",31,33,48,-15,"UKR",1,2,17,15,1218.13342285,1.38520923657744,0,69
"Livyi Bereh",25,26,52,-26,"UKR",1,2,17,16,1161.27331543,1.38955138906643,0,69
"Inhulets",20,26,63,-37,"UKR",1,2,17,17,1159.96582031,1.17747098426159,0,69
"Ferencvaros",49,54,27,27,"HUN",0,1,12,1,1499.69836426,1.48969157651912,0,69
"Paksi",44,37,22,15,"HUN",0,1,12,2,1378.65771484,1.27699793133557,0,69
"Puskas Akademia",34,27,27,0,"HUN",0,1,12,3,1423.1427002,1.25351783860761,0,69
"Diosgyori",33,33,32,1,"HUN",0,1,12,4,1288.05786133,1.25378263720184,0,69
"Nyiregyhaza",30,35,34,1,"HUN",0,1,12,5,1232.09912109,1.23679766275271,0,69
"Ujpest",30,33,34,-1,"HUN",0,1,12,6,1265.30090332,1.4292410189669,0,69
"Debrecen",29,29,30,-1,"HUN",0,1,12,7,1286.16259766,1.21134488216889,0,69
"Kecskemeti",28,24,31,-7,"HUN",0,1,12,8,1235.34887695,1.31316823327282,0,69
"MTK",26,27,33,-6,"HUN",0,1,12,9,1281.40856934,1.30881744110588,0,69
"Zalaegerszegi",24,23,32,-9,"HUN",0,1,12,10,1275.06213379,1.40981526287142,0,69
"Videoton",24,23,35,-12,"HUN",0,1,12,11,1235.41149902,1.26921431612443,0,69
"Gyoer",19,28,36,-8,"HUN",0,1,12,12,1327.04162598,1.3967584057203,0,69
"Paris SG",87,75,12,63,"FRA",3,1,18,1,1974.93762207,1.22432167640108,3,69
"Marseille",61,68,43,25,"FRA",3,1,18,2,1756.52758789,1.27438603243745,3,69
"Monaco",61,48,26,22,"FRA",3,1,18,3,1762.12561035,1.22635909260074,3,69
"Lille",59,55,37,18,"FRA",3,1,18,4,1782.04833984,1.31994027282868,3,69
"Strasbourg",55,48,39,9,"FRA",3,1,18,5,1707.00744629,1.25938623222665,3,69
"Nice",53,58,53,5,"FRA",3,1,18,6,1720.62438965,1.45302016782399,3,69
"Lens",53,45,42,3,"FRA",3,1,18,7,1693.22021484,1.23789215250964,3,69
"Reims",46,41,47,-6,"FRA",3,1,18,8,1589.82861328,1.26937080959817,3,69
"Lyon",44,39,42,-3,"FRA",3,1,18,9,1744.62866211,1.32634288866513,3,69
"Brest",41,44,47,-3,"FRA",3,1,18,10,1679.1048584,1.37732136161242,3,69
"Saint-Etienne",38,43,59,-16,"FRA",3,1,18,11,1532.84277344,1.39793716619456,3,69
"Auxerre",37,36,50,-14,"FRA",3,1,18,12,1629.10119629,1.15592057817911,3,69
"Rennes",37,33,48,-15,"FRA",3,1,18,13,1663.48510742,1.45649384167518,3,69
"Angers",37,36,57,-21,"FRA",3,1,18,14,1538.24450684,1.30289311804225,3,69
"Toulouse",34,42,56,-14,"FRA",3,1,18,15,1653.90771484,1.46989002510885,3,69
"Le Havre",34,37,52,-15,"FRA",3,1,18,16,1553.54150391,1.27488135722711,3,69
"Montpellier",32,31,51,-20,"FRA",3,1,18,17,1490.47045898,1.37004878073012,3,69
"Nantes",31,34,52,-18,"FRA",3,1,18,18,1586.95227051,1.38139457505269,3,69
"Beer-Sheva",60,53,16,37,"ISR",1,1,14,1,1514.36657715,1.31964311269082,1,69
"M Tel Aviv",53,47,19,28,"ISR",1,1,14,2,1552.51538086,1.42282138615712,1,69
"Kiryat Shmona",40,31,25,6,"ISR",1,1,14,3,1196.04394531,1.17989568437524,1,69
"Beitar",40,43,44,-1,"ISR",1,1,14,4,1339.39416504,1.37058955579041,1,69
"Netanya",39,40,29,11,"ISR",1,1,14,5,1311.05419922,1.36361229296198,1,69
"Hapoel Haifa",39,34,24,10,"ISR",1,1,14,6,1364.0723877,1.40371948284728,1,69
"Maccabi Haifa",39,34,26,8,"ISR",1,1,14,7,1451.36315918,1.18040965342779,1,69
"Ashdod",37,34,35,-1,"ISR",1,1,14,8,1282.84484863,1.36886333577057,1,69
"Hapoel Jerusalem",33,31,29,2,"ISR",1,1,14,9,1328.39428711,1.4544238749609,1,69
"Ironi Tiberias",28,27,44,-17,"ISR",1,1,14,10,1224.82067871,1.16676563245849,1,69
"Bnei Sakhinin",26,22,39,-17,"ISR",1,1,14,11,1269.97265625,1.31824440597768,1,69
"Maccabi Bnei Raina",25,27,41,-14,"ISR",1,1,14,12,1239.88305664,1.2466604649928,1,69
"Hapoel Eran Hadera",21,22,44,-22,"ISR",1,1,14,13,1190.2331543,1.15605111068015,1,69
"M Petach Tikva",13,28,58,-30,"ISR",1,1,14,14,1220.94750977,1.3564156557416,1,69
"Mjaellby",66,50,16,34,"SWE",0,1,16,1,1493.09875488,1.41297464767779,0,69
"Elfsborg",60,57,33,24,"SWE",0,1,16,2,1522.04467773,1.50352713740184,0,69
"AIK",53,42,32,10,"SWE",0,1,16,3,1477.94763184,1.24680265708692,0,69
"Malmoe",51,51,33,18,"SWE",0,1,16,4,1521.03540039,1.25579797753124,0,69
"Goeteborg",48,39,33,6,"SWE",0,1,16,5,1366.38745117,1.27283053035018,0,69
"Hammarby",48,43,39,4,"SWE",0,1,16,6,1522.63391113,1.52769526085984,0,69
"Haecken",43,39,39,0,"SWE",0,1,16,7,1399.73974609,1.31963672686259,0,69
"Djurgarden",42,40,29,11,"SWE",0,1,16,8,1460.47021484,1.31732106150395,0,69
"IK Sirius",42,41,33,8,"SWE",0,1,16,9,1371.16271973,1.34254807718322,0,69
"GAIS",41,39,40,-1,"SWE",0,1,16,10,1372.57067871,1.07641468833889,0,69
"Norrkoeping",32,42,52,-10,"SWE",0,1,16,11,1323.95727539,1.16502554218739,0,69
"Brommapojkarna",32,33,55,-22,"SWE",0,1,16,12,1302.8112793,1.5125717683588,0,69
"Halmstad",30,29,47,-18,"SWE",0,1,16,13,1280.05810547,1.32054372768915,0,69
"Degerfors",27,37,57,-20,"SWE",0,1,16,14,1251.06201172,1.36304264399265,0,69
"Oester",23,35,54,-19,"SWE",0,1,16,15,1252.09887695,1.2625213829286,0,69
